Physical sports;0
Acro sports;1
Air sports;2
Archery;3
Ball-over-net games;4
Basketball family;5
Bat-and-ball (safe haven);6
Baton twirling;7
Board sports;8
Catch games;9
Climbing;10
Cycling;11
Bicycle;12
Skibob;13
Unicycle;14
Combat	sports: wrestling and martial arts;15
Grappling;16
Striking;17
Mixed or hybrid;18
Weapons;19
Cue sports;20
Equine sports;21
Fishing;22
Flying disc sports;23
Football;24
Golf;25
Gymnastics;26
Handball family;27
Hunting;28
Ice sports;29
Kite sports;30
Mixed discipline;31
Orienteering family;32
Pilota family;33
Racket (or racquet) sports;34
Remote control;35
Rodeo-originated;36
Running;37
Sailing;38
Snow sports;39
Skiing;40
Sled sports;41
Shooting sports;42
Stacking;43
Stick and ball games;44
Hockey;45
Hurling and shinty;46
Lacrosse;47
Polo;48
Street sports;49
Tag games;50
Walking;51
Wall-and-ball;52
Aquatic & paddle	sports;53
Canoeing;54
Kayaking;55
Rafting;56
Rowing;57
Other paddling sports;58
Aquatic ball sports;59
Competitive swimming;60
Subsurface and	recreational;61
Diving;62
Weightlifting;63
Motorized sports;64
Auto racing;65
Motorboat racing;66
Motorcycle racing;67
ATV racing;68
Athletics;70
Endurance sports;71
Goal sports;72
Skating sports;73
Snowsports;74
Strength sports;75
Table sports;76
Target sports;77
Team sports;78
Windsports;79
